id,x_val,y_val,symbol,name
1,0.707502257795608,0.7627202446318387,A1BG,alpha-1-B glycoprotein
10,0.23564982405281298,0.6686859119199384,NAT2,N-acetyltransferase 2
100,0.7597730020880015,0.8299322766460318,ADA,adenosine deaminase
1000,0.8349619407428065,0.9364496398389076,CDH2,cadherin 2
10000,0.6811766844867876,0.6922112113807611,AKT3,AKT serine/threonine kinase 3
100008588,0.7070484808421513,0.7375540047601449,RNA18SN5,"RNA, 18S ribosomal N5"
100008589,0.7070484808421513,0.7375540047601449,RNA28SN5,"RNA, 28S ribosomal N5"
10001,0.7818874010213505,0.8449200079537612,MED6,mediator complex subunit 6
10002,0.6790593546671592,0.6875065754986052,NR2E3,nuclear receptor subfamily 2 group E member 3
10003,0.25532923761390314,0.704449356195036,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2
100033413,0.8340572864957402,0.9660020728626114,SNORD116-1,"small nucleolar RNA, C/D box 116-1"
100033430,0.8340572864957402,0.9660020728626114,SNORD116-18,"small nucleolar RNA, C/D box 116-18"
100033433,0.8340572864957402,0.9660020728626114,SNORD116-22,"small nucleolar RNA, C/D box 116-22"
100033435,0.8340572864957402,0.9660020728626114,SNORD116-24,"small nucleolar RNA, C/D box 116-24"
100033821,0.8340572864957402,0.9660020728626114,SNORD116-29,"small nucleolar RNA, C/D box 116-29"
100037417,0.7211050757404889,0.7214174188013524,DDTL,D-dopachrome tautomerase like
100048912,0.8892891258822305,0.6451382261711112,CDKN2B-AS1,CDKN2B antisense RNA 1
10005,0.7526024824653273,0.7882973518470999,ACOT8,acyl-CoA thioesterase 8
10006,0.7539482738831825,0.7785604955041753,ABI1,abl interactor 1
10007,0.7696267112504956,0.8375273319093421,GNPDA1,glucosamine-6-phosphate deaminase 1
10008,0.7131617590275219,0.7403838020472189,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3
10009,0.8762423953712588,0.3911308961996182,ZBTB33,zinc finger and BTB domain containing 33
1001,0.7016591609204212,0.7178483850569988,CDH3,cadherin 3
10010,0.3294054307307813,0.7084793529603571,TANK,TRAF family member associated NFKB activator
100101267,0.725249015257306,0.7506438383408516,POM121C,POM121 transmembrane nucleoporin C
100101467,0.7469425031363236,0.8359425355138177,ZSCAN30,zinc finger and SCAN domain containing 30
10011,0.75151105066279,0.7750398092384011,SRA1,steroid receptor RNA activator 1
100124533,0.5623515862067844,0.8662691641148468,SCARNA27,small Cajal body-specific RNA 27
100124700,0.9764035790306196,0.16370395331440385,HOTAIR,HOX transcript antisense RNA
100126693,0.5474136312244808,0.8729545962410278,LINC00322,long intergenic non-protein coding RNA 322
100127889,0.8148796732046116,0.9083918154472119,,
100128252,0.8482439802098168,0.43744857663884157,ZNF667-AS1,ZNF667 antisense RNA 1 (head to head)
100128327,0.5866468227823253,0.5786485464558295,TRAPPC3L,trafficking protein particle complex 3 like
100128400,0.8367571181773162,0.9699195485411202,,
100128525,0.730177095690515,0.7484787652735202,UQCRFS1P1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 1"
100128588,0.5705505187030484,0.8781235452662419,,
100128731,0.8943427408259298,0.6711456282508725,OST4,"oligosaccharyltransferase complex subunit 4, non-catalytic"
100129118,0.8828184657182022,0.5021654247123231,,
100129271,0.6910619603646184,0.729813067795598,C1orf68,chromosome 1 open reading frame 68
100129278,0.6961654275839984,0.9171229909191828,TDRD15,tudor domain containing 15
100129387,0.6733941636450113,0.8716747590132693,GABPB1-AS1,GABPB1 antisense RNA 1
100129654,0.8889776687167871,0.6340305268952363,TCF24,transcription factor 24
100129696,0.8353912127505136,0.9391598202515126,TFP1,transferrin pseudogene 1
100129777,0.48810637679053015,0.8332595337784239,BNIP3P6,BCL2 interacting protein 3 pseudogene 6
100129982,0.8898789206451097,0.7095169257084945,RPL12P19,ribosomal protein L12 pseudogene 19
10013,0.8677095610391032,0.7181170374288494,HDAC6,histone deacetylase 6
100130086,0.6456367793112173,0.6464350716218927,HSFX2,"heat shock transcription factor family, X-linked 2"
100130302,0.8797424630972862,0.7711108424223432,SUPT20HL1,SUPT20H like 1
100130417,0.835577693763771,0.9470821399265706,,
100130557,0.8304533140430654,0.9035131130746911,NFYC-AS1,NFYC antisense RNA 1
100130561,0.887392013673993,0.8000308884118609,HMGB1P10,high mobility group box 1 pseudogene 10
100130892,0.7645513366210196,0.8400402806694556,RPL7P32,ribosomal protein L7 pseudogene 32
100130932,0.8832352285089456,0.7853525579735107,SNRPGP15,small nuclear ribonucleoprotein polypeptide G pseudogene 15
100131017,0.9047930139341731,0.9014373280759973,ZNF316,zinc finger protein 316
100131196,0.8898789206451097,0.7095169257084945,RPS25P8,ribosomal protein S25 pseudogene 8
100131439,0.7404390111516782,0.8040692076575072,CD300LD,CD300 molecule like family member d
100131561,0.5623515862067844,0.8662691641148468,,
100131689,0.8051480205537275,0.8942155064126461,,
100131713,0.8799792294786216,0.7918277672554489,RPL29P11,ribosomal protein L29 pseudogene 11
